,treat,species,seedlings,treeid
1328,far,psycho,0,m2.psycho
1332,far,psycho,1,m2.psycho
1333,far,psycho,1,m4.psycho
1334,far,psycho,0,m2.psycho
1335,far,psycho,0,m4.psycho
1337,far,psycho,0,m3.psycho
1338,far,psycho,0,m2.psycho
1339,far,psycho,0,m2.psycho
1340,far,psycho,0,m2.psycho
1341,far,psycho,0,m1.psycho
1342,far,psycho,0,m1.psycho
1343,far,psycho,1,m2.psycho
1344,far,psycho,0,m1.psycho
1347,near,psycho,0,m1.psycho
1348,near,psycho,0,m1.psycho
1349,near,psycho,0,m1.psycho
1354,near,psycho,1,m2.psycho
1355,near,psycho,0,m4.psycho
1356,near,psycho,1,m4.psycho
1361,near,psycho,1,m2.psycho
1362,near,psycho,1,m4.psycho
1366,near,psycho,0,m2.psycho
1368,near,psycho,0,m3.psycho
1372,near,psycho,0,m1.psycho
1373,near,psycho,1,m1.psycho
1374,near,psycho,0,m3.psycho
1378,near,psycho,1,m4.psycho
1379,near,psycho,1,m4.psycho
1383,near,psycho,1,m1.psycho
1384,near,psycho,0,m3.psycho
1392,near,psycho,1,m3.psycho
1394,near,psycho,0,m2.psycho
1395,near,psycho,0,m2.psycho
1397,near,psycho,0,m2.psycho
1398,near,psycho,1,m3.psycho
1399,near,psycho,1,m3.psycho
1400,near,psycho,0,m2.psycho
1401,near,psycho,0,m2.psycho
1402,near,psycho,0,m2.psycho
1405,near,psycho,0,m4.psycho
1406,near,psycho,0,m1.psycho
1407,near,psycho,0,m2.psycho
1408,near,psycho,0,m2.psycho
1410,near,psycho,0,m1.psycho
1411,near,psycho,0,m1.psycho
1412,near,psycho,0,m1.psycho
1413,near,psycho,0,m1.psycho
1418,near,psycho,0,m2.psycho
1424,near,psycho,0,m4.psycho
1425,near,psycho,0,m2.psycho
1426,near,psycho,1,m1.psycho
1429,near,psycho,0,m4.psycho
1430,near,psycho,0,m4.psycho
1431,near,psycho,0,m3.psycho
1434,near,psycho,0,m2.psycho
1436,near,psycho,0,m4.psycho
1438,near,psycho,0,m4.psycho
1439,near,psycho,0,m3.psycho
1537,far,psycho,1,m1.psycho
1540,far,psycho,1,m1.psycho
1541,far,psycho,0,m2.psycho
1542,far,psycho,0,m2.psycho
1543,far,psycho,0,m2.psycho
1544,far,psycho,1,m3.psycho
1545,far,psycho,1,m4.psycho
1547,far,psycho,0,m3.psycho
1548,far,psycho,1,m4.psycho
1549,far,psycho,0,m2.psycho
1550,far,psycho,1,m1.psycho
1551,far,psycho,1,m1.psycho
1552,far,psycho,0,m2.psycho
1553,far,psycho,0,m1.psycho
1554,far,psycho,0,m1.psycho
1557,far,psycho,0,m2.psycho
1558,far,psycho,0,m2.psycho
1559,far,psycho,0,m4.psycho
1560,far,psycho,0,m4.psycho
1561,far,psycho,0,m1.psycho
1562,far,psycho,1,m1.psycho
1563,far,psycho,0,m6.psycho
1564,far,psycho,0,m6.psycho
1565,far,psycho,1,m5.psycho
1566,far,psycho,0,m7.psycho
1567,far,psycho,0,m6.psycho
1568,far,psycho,0,m6.psycho
1569,far,psycho,0,m7.psycho
1570,far,psycho,0,m7.psycho
1571,far,psycho,0,m6.psycho
1572,far,psycho,0,m7.psycho
1573,far,psycho,0,m5.psycho
