,island,site,trt,germ,species,seed_input
869,Rota,JCP ,UH,1,psycho,1
870,Rota,JCP ,UH,0,psycho,1
871,Rota,JCP ,UH,1,psycho,1
878,Rota,JCP ,UH,1,psycho,1
879,Rota,JCP ,UH,1,psycho,1
880,Rota,JCP ,UH,1,psycho,1
881,Rota,JCP ,UH,0,psycho,1
882,Rota,JCP ,UH,0,psycho,1
886,Rota,JSC,HA,0,psycho,1
887,Rota,JSC,HA,0,psycho,1
888,Rota,JSC,HA,0,psycho,1
889,Rota,JSC,HA,0,psycho,1
890,Rota,JSC,HA,0,psycho,1
891,Rota,JSC,HA,1,psycho,1
897,Rota,JSC,UH,0,psycho,1
898,Rota,JSC,UH,0,psycho,1
899,Rota,JSC,UH,0,psycho,1
900,Rota,JSC,UH,0,psycho,1
901,Rota,JSC,UH,0,psycho,1
902,Rota,JSC,HA,0,psycho,1
903,Rota,JSC,HA,1,psycho,1
904,Rota,JSC,HA,1,psycho,1
905,Rota,JSC,HA,1,psycho,1
906,Rota,JSC,HA,0,psycho,1
907,Rota,JSC,HA,0,psycho,1
914,Rota,JSC,UH,0,psycho,1
915,Rota,JSC,UH,0,psycho,1
916,Rota,JSC,UH,0,psycho,1
917,Rota,JSC,UH,0,psycho,1
918,Rota,JSC,UH,0,psycho,1
919,Rota,JSC,UH,0,psycho,1
920,Rota,JSC,HA,1,psycho,1
921,Rota,JSC,HA,0,psycho,1
922,Rota,JSC,HA,0,psycho,1
923,Rota,JSC,HA,1,psycho,1
924,Rota,JSC,HA,0,psycho,1
925,Rota,JSC,HA,0,psycho,1
932,Rota,JSC,UH,0,psycho,1
933,Rota,JSC,UH,0,psycho,1
934,Rota,JSC,UH,0,psycho,1
935,Rota,JSC,UH,1,psycho,1
936,Rota,JSC,UH,0,psycho,1
937,Rota,JSC,UH,0,psycho,1
938,Rota,JSC,HA,0,psycho,1
939,Rota,JSC,HA,1,psycho,1
942,Rota,JSC,UH,0,psycho,1
