"","Scientific","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","BodyMass.Value","taxon"
"3362","Crocidura canariensis",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",7.5,"mammal"
"3363","Crocidura caspica",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",10.42,"mammal"
"3364","Crocidura baluensis",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",16.9,"mammal"
"3365","Crocidura lanosa",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",22.6,"mammal"
"3366","Crocidura hispida",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3367","Crocidura horsfieldii",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",5,"mammal"
"3368","Crocidura hutanis",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",10.42,"mammal"
"3369","Crocidura ichnusae",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3370","Crocidura indochinensis",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",10.42,"mammal"
"3371","Crocidura jacksoni",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",7,"mammal"
"3372","Crocidura jenkinsi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",12.6,"mammal"
"3373","Crocidura jouvenetae",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",9.79,"mammal"
"3374","Crocidura katinka",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",10.42,"mammal"
"3375","Crocidura erica",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3376","Crocidura lamottei",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",20.5,"mammal"
"3377","Crocidura hildegardeae",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",9.5,"mammal"
"3378","Crocidura latona",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3379","Crocidura lea",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",6.6,"mammal"
